id = 184
editor = MH


### Experiment

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2022
reference = arxiv.org/pdf/2211.11274
inspiretex = CLAS:2022syx
reference2 = bin averages by M.H.

### Scattering Process

frame = Trento

in1particle = em
in1energy = 10.6
in1energyunit = GeV
in1polarizationvector = L
in1polarization = +1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable 
# A_{LU}


y1name = ALU
y1namelong = Beam Spin Asymmetry
y1unit = 1
y1value = column5
y1errorstatistic = column6 
y1errorsystematic = column7 
# only statistical error is given to us so syst error is 0

### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi
x4unit = deg
x4value = column4

### Data
#
#  CLAS 2023 ALU
#                                                        error
#   Q2     xB     -t         phi            ALU       stat    syst
#################################################################
1.17098 0.09829 0.29026 315.20241775091006 -0.13929 0.0178284 0
1.17098 0.09829 0.29026 325.6863994862139 -0.171694 0.0162628 0
1.17098 0.09829 0.29026 336.30044264101235 -0.136432 0.0172189 0
1.17098 0.09829 0.29026 349.7552105440695 -0.0298932 0.0168785 0
1.20665 0.15748 0.32277 5.222367063168671 0.066987 0.0306045 0
1.20665 0.15748 0.32277 14.864186783299434 0.112146 0.0454023 0
1.20665 0.15748 0.32277 37.030606073982185 0.2223 0.0765077 0
1.20665 0.15748 0.32277 72.85272956647444 0.0895558 0.123115 0
1.20665 0.15748 0.32277 100.3650169730663 0.133169 0.117604 0
1.20665 0.15748 0.32277 112.8749774719527 0.229122 0.103194 0
1.20665 0.15748 0.32277 123.93248996018245 0.151947 0.111326 0
1.20665 0.15748 0.32277 135.42545037271165 0.0154519 0.112687 0
1.20665 0.15748 0.32277 146.1283019857554 0.023972 0.0854336 0
1.20665 0.15748 0.32277 156.6323372438888 0.173589 0.084495 0
1.20665 0.15748 0.32277 166.8705200850815 -0.180139 0.100208 0
1.20665 0.15748 0.32277 177.90167651473521 0.0458699 0.0841583 0
