id = 163
editor = MH

collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2018
reference = arxiv.org/pdf/1810.02110

### Scattering Process

frame = Trento

in1energy = 5.88
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XLU


y1name = XLU
y1namelong = Beam Helicity dependent Cross Section
y1unit = nb/GeV^4
y1value = column5
y1errorstatistic = column6
y1errorsystematic = column7


### x-axes

x1name = xB
x1unit = 1
x1value = column1

x2name = Q2
x2unit = GeV^2
x2value = column2

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = phi 
x4unit = deg
x4value = column4

### Data
#
# CLAS 2018 XLU
#
#  xB      Q2    -t  phi     XLU             stat            syst
######################################################################
0.126  1.127  1.398  352.7  0.00439042       0.0024359       0.000622474
0.155  1.302  0.108  37.7   1.82401          0.454476        0.200304
0.154  1.298  0.109  52     0.77345          0.200291        0.087418
0.154  1.299  0.109  67     0.77538          0.130935        0.13574
0.154  1.3    0.108  82.1   0.388516         0.0889272       0.0429126
0.154  1.3    0.108  97.1   0.273532         0.0813969       0.0474493
0.154  1.301  0.108  112.2  0.26085          0.0863409       0.0267332
0.154  1.301  0.108  127.3  0.392904         0.107241        0.048967
0.154  1.301  0.108  142.3  -0.064331        0.0767201       0.0406977
0.154  1.301  0.108  157.4  0.0478913        0.0938526       0.0213124
0.154  1.301  0.108  172.5  0.246483         0.0986352       0.0874582
0.154  1.301  0.108  202.6  0.0417946        0.0786901       0.0216014
0.154  1.301  0.108  217.7  -0.222367        0.104959        0.087736
0.154  1.301  0.108  232.7  -0.259336        0.116016        0.0314482
0.154  1.301  0.108  247.8  -0.350236        0.107365        0.109724
0.154  1.3    0.108  262.9  -0.31703         0.10862         0.0466129
0.154  1.3    0.108  277.9  -0.620965        0.100986        0.0444205
0.154  1.299  0.109  293    -0.580287        0.160527        0.12341
0.154  1.298  0.109  308    -0.592294        0.173449        0.0873808
0.155  1.302  0.108  322.3  -1.10887         0.289314        0.127109
0.154  1.299  0.153  51.9   0.664891         0.10125         0.0520776
0.154  1.3    0.153  67     0.300428         0.104481        0.0874427
0.154  1.301  0.153  82     0.438559         0.0723982       0.0652532
0.154  1.301  0.153  97.1   0.276363         0.0595154       0.0292969
0.154  1.301  0.153  112.2  0.0894537        0.041964        0.0195398
0.154  1.301  0.153  127.3  0.188845         0.0517581       0.0194394
0.154  1.301  0.152  142.3  0.146145         0.067166        0.0296389
0.154  1.302  0.152  157.4  0.0484249        0.0403656       0.00965821
0.154  1.302  0.152  172.5  -0.0310734       0.0329337       0.015341
0.154  1.302  0.152  187.5  -0.0856051       0.0569727       0.0239358
0.154  1.302  0.152  202.6  0.0222895        0.0353789       0.0390111
0.154  1.301  0.152  217.7  -0.0393734       0.0461156       0.0199322
0.154  1.301  0.153  232.7  0.00932768       0.0681245       0.0236555
0.154  1.301  0.153  247.8  -0.246022        0.0690145       0.0684403
0.154  1.301  0.153  262.9  -0.252096        0.0473804       0.0295775
0.154  1.301  0.153  278    -0.25048         0.0583915       0.0249648
0.154  1.3    0.153  293    -0.554311        0.0884336       0.0779251
0.154  1.299  0.153  308.1  -0.385319        0.127082        0.0467131
0.154  1.3    0.203  51.8   0.511744         0.0716458       0.0603414
0.154  1.301  0.203  66.9   -0.00699937      0.0633443       0.0149
0.154  1.301  0.203  82     0.200708         0.0482019       0.0294249
0.154  1.301  0.203  97.1   0.142277         0.0403188       0.0161725
0.154  1.302  0.203  112.2  0.0231158        0.0297128       0.00808186
0.154  1.302  0.203  127.2  0.0740638        0.0360767       0.011048
0.154  1.302  0.203  142.3  0.149571         0.0577193       0.0511911
0.154  1.302  0.203  157.4  0.0242862        0.046413        0.0212111
0.154  1.302  0.203  172.5  0.117407         0.0371257       0.0206821
0.154  1.302  0.203  187.5  0.0403757        0.0255975       0.0205255
0.154  1.302  0.203  202.6  -0.0972661       0.0261839       0.0164677
0.154  1.302  0.203  217.7  -0.0094431       0.029901        0.0153346
0.154  1.302  0.203  232.8  0.0115991        0.0312419       0.0112684
0.154  1.302  0.203  247.8  -0.151287        0.0473449       0.0185957
0.154  1.301  0.203  262.9  -0.127849        0.0399244       0.0145114
0.154  1.301  0.203  278    -0.198974        0.0440443       0.0166156
0.154  1.301  0.203  293.1  -0.227913        0.058869        0.0186086
0.154  1.3    0.203  308.2  -0.134435        0.0912292       0.0539301
0.154  1.301  0.262  51.7   0.230324         0.0523522       0.0187013
0.154  1.301  0.262  66.9   0.256711         0.0475978       0.0497735
0.154  1.302  0.262  82     0.125288         0.0389816       0.0197991
0.154  1.302  0.262  97.1   0.0626308        0.0222269       0.0116542
0.154  1.302  0.262  112.2  0.00352779       0.0271128       0.0039531
0.154  1.302  0.261  127.2  0.0469414        0.0230144       0.0253585
0.154  1.302  0.261  142.3  -0.0244529       0.0289775       0.0262883
0.154  1.302  0.261  157.4  0.037115         0.0174066       0.00561667
0.154  1.302  0.261  187.5  0.0168927        0.0312004       0.0200322
0.154  1.302  0.261  202.6  -0.0447081       0.0204096       0.00550936
0.154  1.302  0.261  217.7  -0.101502        0.0269852       0.0162832
0.154  1.302  0.261  232.8  -0.0575726       0.0189262       0.0127453
0.154  1.302  0.262  247.8  -0.0504247       0.0319038       0.0402003
0.154  1.302  0.262  262.9  -0.0873637       0.0263976       0.00617857
0.154  1.302  0.262  278    -0.097565        0.0266398       0.015381
0.154  1.301  0.262  293.1  -0.250972        0.0556518       0.0267225
0.154  1.301  0.262  308.3  -0.129129        0.0709647       0.0465774
0.154  1.301  0.341  51.7   0.140183         0.0385869       0.00952981
0.154  1.302  0.34   66.8   0.102418         0.0458787       0.0110726
0.154  1.302  0.34   82     0.0328911        0.0277249       0.0193228
0.154  1.302  0.34   97.1   0.0829784        0.0239842       0.00673706
0.154  1.302  0.34   112.1  0.0435536        0.0183085       0.00854086
0.154  1.302  0.34   127.2  0.0334077        0.0246888       0.00836988
0.154  1.303  0.34   157.4  0.025774         0.0109886       0.00473175
0.154  1.303  0.34   172.5  -0.0285254       0.0194687       0.00861862
0.154  1.303  0.34   187.5  0.0272563        0.0198705       0.0160764
0.154  1.303  0.34   202.6  0.0106963        0.0166771       0.00564664
0.154  1.302  0.34   232.8  -0.0223834       0.0208246       0.00537094
0.154  1.302  0.34   247.9  -0.0258728       0.0162188       0.0137193
0.154  1.302  0.34   262.9  -0.134633        0.0264034       0.0145463
0.154  1.302  0.34   278    -0.073999        0.0237424       0.00687632
0.154  1.302  0.34   293.2  -0.0690132       0.0273864       0.0137661
0.154  1.301  0.341  308.3  -0.184804        0.041045        0.0142963
0.155  1.301  0.451  37.1   0.13068          0.0557675       0.0385857
0.155  1.302  0.447  51.7   0.0744774        0.0221539       0.00463097
0.154  1.302  0.447  66.8   0.0493873        0.0230416       0.00725981
0.154  1.302  0.447  81.9   0.00798241       0.014522        0.0118903
0.154  1.302  0.447  97     -0.006612        0.0164668       0.00498393
0.154  1.303  0.447  112.1  0.0141182        0.0112385       0.00601954
0.154  1.303  0.446  127.2  0.0155691        0.00937566      0.00518286
0.154  1.303  0.446  142.3  -0.0212499       0.0150624       0.00684137
0.154  1.303  0.446  157.4  -0.011896        0.00865194      0.0057363
0.154  1.303  0.446  172.5  0.0103309        0.0125143       0.00299834
0.154  1.303  0.446  187.5  0.0105691        0.0115017       0.000949794
0.154  1.303  0.446  202.6  -0.00869325      0.0126066       0.0100925
0.154  1.303  0.446  217.7  0.0104066        0.0104469       0.00424073
0.154  1.303  0.446  232.8  -0.0230355       0.0117585       0.00460856
0.154  1.303  0.447  247.9  -0.0105072       0.0112874       0.00231567
0.154  1.302  0.447  263    -0.0251633       0.0106095       0.00602702
0.154  1.302  0.447  278.1  0.0129723        0.0156928       0.00675521
0.154  1.302  0.447  293.2  -0.0927679       0.0190859       0.0110726
0.155  1.302  0.447  308.3  -0.0461066       0.0279744       0.03452
0.155  1.301  0.451  322.9  -0.035949        0.0446526       0.0178584
0.155  1.303  0.603  36.5   0.0325514        0.0168688       0.0129754
0.155  1.302  0.604  51.7   -0.00930449      0.013519        0.00357155
0.155  1.303  0.604  66.8   0.0368255        0.0126662       0.0047442
0.155  1.303  0.604  81.9   0.0262147        0.0119032       0.00901676
0.154  1.303  0.604  97     0.0116329        0.00651977      0.00767415
0.154  1.303  0.604  112.1  0.00927761       0.00658925      0.00416637
0.154  1.303  0.604  127.2  0.00714287       0.0098658       0.00682497
0.154  1.303  0.603  142.3  -0.00639882      0.0150542       0.00362524
0.154  1.303  0.603  157.4  0.00684517       0.00557979      0.000810919
0.154  1.303  0.603  172.5  0.0263238        0.0169507       0.00748074
0.154  1.303  0.603  202.6  -0.00864919      0.00722376      0.00106831
0.154  1.303  0.603  217.7  -0.0124767       0.00443406      0.0024338
0.154  1.303  0.604  232.8  -0.00521601      0.013204        0.00397272
0.154  1.303  0.604  247.9  -0.00584956      0.00732993      0.00340087
0.154  1.303  0.604  263    0.00260246       0.00702772      0.00277627
0.155  1.303  0.604  278.1  -0.0141736       0.00713394      0.00243416
0.155  1.303  0.604  293.2  -0.00134157      0.0088294       0.0057196
0.155  1.302  0.604  308.3  0.00816469       0.0121122       0.00309725
0.155  1.303  0.603  323.5  -0.0643324       0.0218979       0.00477999
0.154  1.295  0.895  7.8    -0.00871451      0.0170894       0.00961245
0.155  1.303  0.86   21.7   0.00216205       0.0118341       0.00482663
0.155  1.303  0.863  36.6   -0.0107487       0.00622007      0.00198434
0.155  1.303  0.865  51.7   0.00511694       0.00487897      0.0014708
0.155  1.303  0.865  66.8   0.00259071       0.00405611      0.00108158
0.155  1.303  0.865  81.9   0.0122102        0.00556094      0.00228945
0.155  1.303  0.865  97     0.0124146        0.00389952      0.00178707
0.155  1.303  0.865  112.1  -0.0027693       0.00725188      0.00448669
0.155  1.303  0.864  232.8  0.0221422        0.023476        0.00668037
0.155  1.303  0.865  247.9  -0.00538152      0.00492711      0.000433411
0.155  1.303  0.865  263    0.00525474       0.00252753      0.00153816
0.155  1.303  0.865  293.2  0.00105507       0.00343465      0.00116015
0.155  1.303  0.865  308.3  -0.0134031       0.00712391      0.00322669
0.155  1.303  0.863  323.4  -0.0139244       0.00813727      0.00155521
0.155  1.303  0.86   338.3  -0.00687069      0.0115624       0.00388163
0.154  1.295  0.895  352.2  -0.0315476       0.0168783       0.00718822
0.155  1.302  1.392  7.2    -0.000699297     0.00301293      0.000661275
0.155  1.302  1.386  21.8   0.000469297      0.00287437      0.00251025
0.155  1.303  1.382  36.7   -0.00208368      0.00174356      0.00114109
0.155  1.303  1.38   51.7   -0.000537232     0.00138057      0.00104235
0.155  1.304  1.379  66.8   -0.000738097     0.00116825      0.000529372
0.155  1.304  1.379  81.9   -0.00400318      0.00971308      0.00794913
0.154  1.303  1.378  157.3  0.00137121       0.00332297      0.000705942
0.155  1.305  1.38   172.5  0.00512036       0.0156888       0.00530083
0.155  1.304  1.379  278.1  0.00123474       0.00158567      0.00107087
0.155  1.304  1.379  293.2  -0.0020303       0.00187472      0.000463822
0.155  1.303  1.38   308.3  -0.00218514      0.00156466      0.000572952
0.155  1.303  1.382  323.3  0.00250321       0.00276946      0.00124909
0.155  1.302  1.386  338.2  0.00427396       0.00259442      0.00286679
0.155  1.302  1.392  352.8  -0.00455879      0.00293633      0.000604165
0.155  1.423  0.108  67     0.745453         0.149364        0.223286
0.155  1.424  0.108  82.1   0.390729         0.0963664       0.0632836
0.155  1.424  0.108  97.2   0.254216         0.0827907       0.0580443
0.155  1.425  0.108  112.2  0.330401         0.0925742       0.0242281
0.155  1.425  0.108  127.3  0.398244         0.121098        0.0693909
0.155  1.425  0.108  142.3  0.0940335        0.0709671       0.0142619
0.155  1.425  0.108  157.4  0.0729089        0.0784295       0.0188716
0.155  1.425  0.108  172.5  -0.0405403       0.123516        0.0171321
0.155  1.425  0.108  187.5  -0.0325381       0.0788142       0.0314127
0.155  1.425  0.108  202.6  -0.144827        0.0753157       0.0319882
0.155  1.425  0.108  217.7  -0.275407        0.0775134       0.0294339
0.155  1.425  0.108  232.7  0.0103509        0.090845        0.0534145
0.155  1.425  0.108  247.8  -0.30168         0.118876        0.117073
0.155  1.424  0.108  262.8  -0.338056        0.0800883       0.0345029
0.155  1.424  0.108  277.9  -0.522257        0.10556         0.0466925
0.155  1.423  0.108  293    -0.378749        0.129832        0.162159
0.155  1.424  0.153  67     0.17968          0.0890202       0.0642027
0.155  1.425  0.153  82     0.357862         0.0677283       0.0313797
0.155  1.425  0.153  97.1   0.176498         0.0465793       0.0278035
0.155  1.426  0.153  112.2  0.130294         0.0506853       0.0199219
0.155  1.426  0.152  127.3  0.0675606        0.0619475       0.0336944
0.155  1.426  0.152  142.3  0.0574445        0.0448178       0.0137639
0.155  1.426  0.152  157.4  0.18779          0.0403499       0.0158873
0.155  1.426  0.152  172.5  0.0159383        0.0429034       0.00933514
0.155  1.426  0.152  187.5  0.00768059       0.0709868       0.00783839
0.155  1.426  0.152  202.6  -0.0443692       0.0417776       0.00973567
0.155  1.426  0.152  217.7  -0.094804        0.0441711       0.0238164
0.155  1.426  0.152  232.7  -0.165043        0.0535962       0.0214566
0.155  1.426  0.153  247.8  -0.21982         0.045765        0.0184844
0.155  1.425  0.153  262.9  -0.311353        0.0479909       0.0319653
0.155  1.425  0.153  278    -0.252134        0.0493662       0.0244228
0.155  1.424  0.153  293    -0.508131        0.0837335       0.126985
0.155  1.425  0.203  66.9   0.193876         0.0592706       0.0352788
0.155  1.425  0.203  82     0.220816         0.0549295       0.0283383
0.155  1.426  0.203  97.1   0.248473         0.0389982       0.0316401
0.155  1.426  0.203  112.2  0.210784         0.0383568       0.0185991
0.155  1.426  0.203  127.3  0.00647733       0.0400796       0.0252889
0.155  1.426  0.203  142.3  0.00808863       0.0262236       0.0109303
0.155  1.426  0.203  157.4  -0.00654154      0.0221947       0.0134368
0.155  1.426  0.203  172.5  -0.102476        0.0320724       0.0191631
0.155  1.426  0.203  187.5  -0.0291147       0.044635        0.0214401
0.155  1.426  0.203  202.6  -0.0954866       0.0346209       0.00675949
0.155  1.426  0.203  217.7  -0.0808373       0.0253257       0.0099384
0.155  1.426  0.203  232.7  -0.0845935       0.0348562       0.0165602
0.155  1.426  0.203  247.8  0.0456957        0.0528876       0.00911814
0.155  1.426  0.203  262.9  -0.0492124       0.0326407       0.0135246
0.155  1.425  0.203  278    -0.0660994       0.0389804       0.0107043
0.155  1.425  0.203  293.1  -0.190155        0.0523085       0.0642893
0.155  1.424  0.263  52.1   0.366881         0.095133        0.0551553
0.155  1.425  0.262  66.9   0.24387          0.0477796       0.0280701
0.155  1.426  0.262  82     0.213951         0.034904        0.0251604
0.155  1.426  0.262  97.1   0.0555205        0.0209347       0.00525921
0.155  1.426  0.261  112.2  0.100914         0.0268196       0.013534
0.155  1.427  0.261  127.3  0.100197         0.0224863       0.0178076
0.155  1.427  0.261  142.3  0.0383423        0.019612        0.00793119
0.155  1.427  0.261  157.4  -0.0464572       0.0185849       0.00929298
0.155  1.427  0.261  172.5  0.00900626       0.0203824       0.0059857
0.155  1.427  0.261  187.5  -0.0270289       0.0268878       0.0106942
0.155  1.427  0.261  202.6  0.00648597       0.0163406       0.00441787
0.155  1.427  0.261  217.7  -0.0118287       0.0160272       0.00816871
0.155  1.427  0.261  232.7  -0.0147713       0.0166209       0.00682587
0.155  1.426  0.261  247.8  -0.0599928       0.0320363       0.00984709
0.155  1.426  0.262  262.9  -0.150608        0.0270996       0.0134657
0.155  1.426  0.262  278    -0.139759        0.0271794       0.0155671
0.155  1.425  0.262  293.1  -0.179226        0.0444612       0.0226196
0.155  1.424  0.263  307.9  -0.229905        0.0703389       0.0153277
0.155  1.426  0.34   51.7   0.106718         0.0359226       0.0144624
0.155  1.426  0.34   66.9   0.126535         0.0255527       0.0108216
0.155  1.426  0.34   82     0.0557333        0.0254181       0.0167978
0.155  1.426  0.34   97.1   0.0759576        0.0141564       0.00745709
0.155  1.427  0.34   112.2  0.0443208        0.0173509       0.00363005
0.155  1.427  0.34   127.2  0.0226945        0.0174676       0.0108077
0.155  1.427  0.34   142.3  0.00992091       0.0142377       0.00684012
0.155  1.427  0.34   157.4  -0.00190202      0.0133142       0.00511892
0.155  1.427  0.34   172.5  -0.0121388       0.0104536       0.00726781
0.155  1.427  0.34   187.5  0.0124628        0.013354        0.00674909
0.155  1.427  0.34   202.6  -0.0175352       0.0174781       0.00348361
