id = 162
editor = MH
# XUUw obtained by fit to the first two sin harmonics


collaboration = CLAS
process = ep2epgamma
exptype = fixed target
year = 2018
reference = arxiv.org/pdf/1810.02110

### Scattering Process

frame = Trento

in1energy = 5.88
in1particle = em
in1energyunit = GeV
in1polarizationvector = L
in1polarization = 1

in2particle = p

out1particle = em
out2particle = p
out3particle = gamma


### Observable
# XUUw


y1name = XUUw
y1namelong = weigthed Beam Helicity Independent Cross Section
y1unit = nb/GeV^4
y1value = column4
y1errorstatistic = column5
# Systematic error include c0/c1 enhancement of cos(phi)
y1errorsystematic = column6  


### x-axes

x1name = xB
x1unit = 1
x1value = column2

x2name = Q2
x2unit = GeV^2
x2value = column1

x3name = tm
x3unit = GeV^2
x3value = column3

x4name = FTn
x4unit = 1
x4value = column7

### Data
#
# CLAS 2018 XUUw
#
#  Q2       xB       tm        FTval   FTstat  FTsyst   FTn 
###########################################################
2.822000 0.335000 0.342000 -0.004144 0.001495 0.002612    1
2.851000 0.335000 0.450000 -0.003299 0.000951 0.001456    1
2.849000 0.335000 0.608000 -0.000435 0.000908 0.000676    1
2.387000 0.359000 0.170000  0.031424 0.171173 0.005319    1
2.416000 0.364000 0.206000 -0.004476 0.023792 0.003252    1
2.418000 0.364000 0.265000 -0.017942 0.016834 0.002294    1
2.419000 0.364000 0.344000 -0.036423 0.016413 0.002462    1
2.418000 0.364000 0.454000  0.012831 0.013157 0.001810    1
#2.998000 0.358000 0.171000 -2.670851 2.407696 0.222026    1
3.049000 0.363000 0.206000  0.025071 0.026050 0.005506    1
3.057000 0.364000 0.265000 -0.000178 0.004686 0.003277    1
3.057000 0.364000 0.344000  0.002338 0.002194 0.002189    1
3.016000 0.365000 0.450000 -0.001739 0.000913 0.001137    1
3.048000 0.365000 0.611000  0.005793 0.003785 0.000946    1
2.515000 0.392000 0.213000 -0.149083 0.126899 0.010778    1
2.550000 0.398000 0.265000  0.007302 0.019669 0.002038    1
2.550000 0.398000 0.344000 -0.013453 0.010068 0.001054    1
2.550000 0.398000 0.454000  0.001323 0.012671 0.001283    1
3.204000 0.391000 0.215000 -0.174941 0.139689 0.013073    1
3.263000 0.398000 0.266000 -0.021580 0.136448 0.002005    1
3.272000 0.398000 0.345000  0.008092 0.004932 0.002025    1
3.273000 0.399000 0.453000  0.000735 0.001414 0.000959    1
3.226000 0.400000 0.611000  0.000713 0.001019 0.000538    1
2.982000 0.447000 0.346000 -0.012491 0.005764 0.000900    1
3.048000 0.455000 0.455000  0.006613 0.004707 0.000951    1
3.588000 0.429000 0.277000 -0.108813 0.150118 0.008206    1
3.705000 0.446000 0.347000  0.003463 0.013183 0.001359    1
